time[UT]  C01 C02 C03 C04 C05 C06 C07 C08 C09 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 
19:04:20   32  43  41  30  38  41  41  67  57  30  42  29  51  38  32  38  26  51  40  26  50  47  32  31  41  36  46  50  41 
19:04:28   62  47  30  42  36  41  28  30  63  63  40  40  40  42  41  29  62  71  53  43  53  46  41  43  50  71  45  44  41 
19:04:36   50  46  50  44  41  57  46  32  50  53  47  37  48  35  38  45  39  41  45  42  40  47  29  41  35  38  40  40  30 
19:04:44   52  44  38  45  33  30  31  53  40  40  45  41  34  48  51  38  50  50  42  55  40  36  30  37  39  51  27  58  42 
19:04:52   30  38  42  53  42  41  42  40  47  51  34  50  31  42  53  32  62  34  38  44  17  30  52  46  34  32  33  53  42 
19:05:00   47  38  32  41  28  42  30  35  57  47  40  45  29  41  46  36  41  39  58  50  52  42  49  40  51  51  47  40  47 
19:05:08   32  50  42  52  52  58  46  38  31  44  40  52  25  53  35  30  40  30  53  50  45  47  42  58  37  41  40  38  57 
19:05:16   33  30  29  50  37  51  35  42  39  32  34  50  42  52  28  58  51  40  51  51  62  38  33  42  34  53  39  32  50 
19:05:24   12  45  42  40  50  42  42  57  62  42  41  57  53  40  37  38  42  34  30  27  38  44  30  36  45  35  42  30  42 
19:05:32   19  42  40  48  52  33  38  41  45  42  41  42  30  46  49  28  50  51  42  42  67  42  51  42  53  36  58  58  57 
19:05:40   32  51  30  58  31  34  37  26  41  44  47  42  44  37  41  40  41  25  42  42  52  25  29  53  40  51  35  51  40 
19:05:48   38  41  29  28  29  32  45  45  30  51  37  53  44  50  42  45  38  40  40  51  42  42  30  41  50  57  45  40  25 
19:05:56   22  30  42  32  40  57  29  42  29  58  30  47  25  40  37  53  25  42  44  30  45  42  32  40  46  33  30  41  41 
19:06:04   40  60  51  33  45  38  32  38  48  51  42  50  36  57  33  51  41  40  30  41  44  29  44  44  40  41  40  53  33 
19:06:12   38  19  36  42  50  30  32  38  51  38  51  45  31  29  40  38  25  41  22  40  29  37  44  44  52  52  21  41  42 
19:06:20   30  52  47  58  47  39  27  51  41  33  38  30  42  51  45  42  44  50  41  29  37  37  38  34  29  62  30  58  24 
19:06:28   50  51  33  42  30  44  40  44  51  42  37  40  31  38  50  44  38  44  41  35  40  42  29  25  34  32  42  36  34 
19:06:36   30  29  41  31  30  42  41  38  30  40  50  30  30  44  45  29  46  42  28  40  42  42  64  32  40  30  40  32  53 
